hostname,timestamp_iso,timestamp_ms,records_sent,recs_per_sec,mb_per_sec,avg_latency,max_latency,p50,p95,p99,p999
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T19:58:40.122352317Z,1752868720122,872000,174260.6,166.19,96.8,447.0,90,205,325,380
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T19:58:45.273448260Z,1752868725273,1184420,236647.4,225.68,125.9,371.0,125,198,232,278
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T19:58:50.354306480Z,1752868730354,1033167,206509.5,196.94,139.5,374.0,137,239,284,329
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T19:58:55.417425621Z,1752868735417,1017066,203372.5,193.95,142.4,364.0,140,228,268,316
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T19:59:00.676346485Z,1752868740676,772373,149049.2,142.14,185.7,775.0,139,430,668,751
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T19:59:05.740030807Z,1752868745740,999796,199839.3,190.58,155.0,506.0,142,395,462,493
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T19:59:10.790561466Z,1752868750790,940125,188025.0,179.31,159.1,559.0,142,401,472,509
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T19:59:15.833666393Z,1752868755833,364335,72823.3,69.45,397.0,1225.0,390,831,963,1129
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T19:59:20.858462560Z,1752868760858,878782,175756.4,167.61,163.7,728.0,130,419,483,519
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T19:59:25.892847364Z,1752868765892,1006444,201127.9,191.81,147.5,485.0,135,355,427,466
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T19:59:30.932545377Z,1752868770932,1104417,220795.1,210.57,130.8,310.0,131,209,241,280
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T19:59:35.980758848Z,1752868775980,944127,188674.5,179.93,155.1,624.0,138,377,528,592
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T19:59:41.030966659Z,1752868781030,800828,160005.6,152.59,166.7,586.0,111,464,507,545
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T19:59:46.070220973Z,1752868786070,1160448,231811.4,221.07,132.3,298.0,131,209,242,274
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T19:59:51.196888955Z,1752868791196,804375,158341.5,151.01,174.9,717.0,148,399,456,652
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T19:59:56.314216885Z,1752868796314,462046,91097.4,86.88,312.7,949.0,351,637,758,832
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T20:00:01.361889591Z,1752868801361,870596,173841.1,165.79,184.6,823.0,158,429,694,775
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T20:00:06.415283480Z,1752868806415,1041619,208032.6,198.40,144.8,346.0,145,225,255,293
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T20:00:11.451457460Z,1752868811451,778035,155575.9,148.37,183.1,702.0,136,498,610,654
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T20:00:16.484621769Z,1752868816484,534144,106786.1,101.84,293.1,1830.0,175,1049,1282,1570
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T20:00:21.519863070Z,1752868821519,906432,181213.9,172.82,166.2,663.0,157,263,509,580
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T20:00:26.572825297Z,1752868826572,396023,78873.3,75.22,365.0,1896.0,188,1135,1625,1785
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T20:00:31.603007422Z,1752868831603,783798,156759.6,149.50,212.4,1981.0,154,656,1341,1668
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T20:00:36.638856227Z,1752868836638,1049090,209650.3,199.94,140.7,344.0,141,226,258,287
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T20:00:41.700840633Z,1752868841700,1049920,209314.2,199.62,145.1,355.0,144,220,257,306
producer-3.pitur-263479.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-18T20:00:46.787190596Z,1752868846787,854731,169555.8,161.70,165.9,599.0,145,430,524,570
