hostname,timestamp_iso,timestamp_ms,records_sent,recs_per_sec,mb_per_sec,avg_latency,max_latency,p50,p95,p99,p999
producer-3.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:06.377297770Z,1752652206377,579624,115924.8,110.55,3.1,499.0,2,8,31,34
producer-3.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:11.482295476Z,1752652211482,651633,130326.6,124.29,14.5,421.0,2,106,274,348
producer-3.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:16.506064603Z,1752652216506,644745,128949.0,122.98,2.6,48.0,2,3,40,43
producer-3.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:21.550476692Z,1752652221550,681113,135490.9,129.21,5.7,220.0,2,25,103,205
producer-3.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:26.628773931Z,1752652226628,681273,135280.6,129.01,3.0,93.0,2,5,41,55
producer-3.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:31.685598028Z,1752652231685,667370,132572.5,126.43,3.0,76.0,2,7,39,52
producer-3.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:36.711169406Z,1752652236711,640136,128027.2,122.10,15.0,372.0,2,139,258,329
producer-3.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:41.736111139Z,1752652241736,1268932,253786.4,242.03,8.4,245.0,3,37,126,221
producer-3.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:46.811201641Z,1752652246811,1562578,312515.6,298.04,20.9,343.0,5,111,254,306
producer-3.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:51.906009767Z,1752652251906,1484745,296949.0,283.19,16.9,334.0,4,104,243,280
producer-3.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:50:57.038029244Z,1752652257038,1551870,310374.0,296.00,25.1,436.0,5,140,317,403
producer-3.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:51:02.135007130Z,1752652262135,1495994,299198.8,285.34,8.1,136.0,4,36,97,124
producer-3.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:51:07.234970214Z,1752652267234,1380771,275328.2,262.57,11.2,322.0,4,39,147,305
producer-3.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:51:12.270063334Z,1752652272270,1498748,299749.6,285.86,17.9,311.0,4,97,247,287
producer-3.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:51:17.327180256Z,1752652277327,1555516,311103.2,296.69,23.3,349.0,5,136,276,315
producer-3.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:51:22.394371863Z,1752652282394,1074494,214898.8,204.94,48.1,418.0,5,277,333,391
producer-3.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:51:27.464303935Z,1752652287464,629202,125815.2,119.99,23.5,376.0,2,151,275,333
producer-3.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:51:32.517494638Z,1752652292517,680067,135256.0,128.99,40.0,615.0,2,221,381,545
producer-3.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:51:37.560046068Z,1752652297560,676090,135218.0,128.95,2.8,97.0,2,4,41,57
producer-3.pitur-263278.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-16T07:51:42.581121429Z,1752652302581,888735,177747.0,169.51,4.8,65.0,2,29,41,50
