hostname,timestamp_iso,timestamp_ms,records_sent,recs_per_sec,mb_per_sec,avg_latency,max_latency,p50,p95,p99,p999
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:23:54.742702467Z,1754508234742,3050833,610166.6,544.59,11.1,540.0,7,30,40,78
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:24:00.122043934Z,1754508240122,3527136,705427.2,629.62,28.6,550.0,4,238,406,510
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:24:05.418414611Z,1754508245418,3315245,663049.0,591.79,39.1,459.0,3,304,399,443
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:24:10.637445873Z,1754508250637,3381711,675396.6,602.81,20.0,297.0,3,153,251,287
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:24:15.889159390Z,1754508255889,3281645,656329.0,585.80,31.4,374.0,3,228,347,373
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:24:21.106064064Z,1754508261106,1349160,269832.0,240.83,13.1,264.0,2,78,235,261
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:24:26.217372288Z,1754508266217,1303399,260679.8,232.67,5.8,137.0,2,36,103,133
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:24:31.327114877Z,1754508271327,1928397,385679.4,344.23,6.3,134.0,2,35,94,129
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:24:36.524043850Z,1754508276524,2098371,418002.2,373.08,16.9,239.0,3,113,197,237
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:24:41.653495623Z,1754508281653,2527653,504924.7,450.66,7.4,187.0,3,33,93,151
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:24:46.900554732Z,1754508286900,3126769,624230.2,557.15,46.6,549.0,3,338,414,542
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:24:52.155625505Z,1754508292155,3269156,652265.8,582.17,32.1,388.0,3,249,350,369
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:24:57.430478879Z,1754508297430,1509540,301185.2,268.82,56.1,410.0,2,336,393,409
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:25:02.510272815Z,1754508302510,1290261,258052.2,230.32,6.1,168.0,2,38,98,130
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:25:07.626179178Z,1754508307626,1292067,258413.4,230.64,5.7,136.0,2,37,114,133
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:25:12.700130658Z,1754508312700,1295039,259007.8,231.17,5.4,121.0,2,37,89,119
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:25:17.824722708Z,1754508317824,1308067,260830.9,232.80,4.9,133.0,2,36,62,130
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:25:22.921676023Z,1754508322921,1308357,260784.7,232.76,5.1,147.0,2,37,65,110
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:25:28.000345101Z,1754508328000,1289285,257857.0,230.15,5.8,158.0,2,38,91,126
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:25:33.118499001Z,1754508333118,1293718,258743.6,230.94,5.9,137.0,2,38,118,136
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:25:38.228519077Z,1754508338228,1296525,259046.0,231.21,5.5,129.0,2,37,98,126
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:25:43.332503733Z,1754508343332,1298734,258197.6,230.45,4.8,130.0,2,37,59,94
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:25:48.411009054Z,1754508348411,3006639,601327.8,536.71,6.9,155.0,3,32,52,119
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:25:53.615078552Z,1754508353615,3120294,622813.2,555.88,21.5,318.0,3,145,280,315
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:25:58.865036944Z,1754508358865,2774984,554996.8,495.35,28.0,350.0,3,214,314,333
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:26:04.094823723Z,1754508364094,3265674,653004.2,582.83,24.6,346.0,3,203,303,344
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:26:09.323403323Z,1754508369323,3085944,616572.2,550.31,16.4,328.0,3,96,254,303
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:26:14.612839565Z,1754508374612,3420371,681213.1,608.01,38.1,481.0,3,285,399,471
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:26:19.894903918Z,1754508379894,3355327,669458.7,597.51,42.6,512.0,3,336,435,507
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:26:25.176242844Z,1754508385176,3066473,610972.9,545.31,39.2,477.0,3,324,412,458
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:26:30.423899364Z,1754508390423,3235930,645507.7,576.14,16.4,362.0,3,100,262,357
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:26:35.706425249Z,1754508395706,3269854,652014.8,581.95,38.5,438.0,3,277,379,406
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:26:40.978391742Z,1754508400978,2999775,598996.6,534.62,39.4,514.0,3,311,445,512
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:26:46.212177952Z,1754508406212,2983783,596756.6,532.63,18.1,339.0,3,109,277,331
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:26:51.479126111Z,1754508411479,3130179,624412.3,557.31,33.0,425.0,3,255,386,422
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:26:56.742009183Z,1754508416742,3254284,650856.8,580.91,40.7,465.0,3,330,411,440
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:27:02.021010005Z,1754508422021,3253195,650639.0,580.72,45.4,527.0,3,329,411,503
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:27:07.272015552Z,1754508427272,3222506,644501.2,575.24,24.4,359.0,3,178,324,343
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-06T19:27:12.525128172Z,1754508432525,3477717,695543.4,620.80,34.7,419.0,4,252,371,400
