time, threadId, data.consumed.in.MB, MB.sec, data.consumed.in.nMsg, nMsg.sec, rebalance.time.ms, fetch.time.ms, fetch.MB.sec, fetch.nMsg.sec
2025-07-22 20:08:18:515, 0, 84.7915, 16.9549, 173653, 34723.6553, 3625, 1376, 61.6217, 126201.3081
2025-07-22 20:08:23:515, 0, 133.6587, 9.7734, 273733, 20016.0000, 0, 5000, 9.7734, 20016.0000
2025-07-22 20:08:28:515, 0, 182.4868, 9.7656, 373733, 20000.0000, 0, 5000, 9.7656, 20000.0000
2025-07-22 20:08:33:516, 0, 231.3198, 9.7646, 473743, 19998.0004, 0, 5001, 9.7646, 19998.0004
2025-07-22 20:08:38:516, 0, 280.1611, 9.7683, 573770, 20005.4000, 0, 5000, 9.7683, 20005.4000
2025-07-22 20:08:43:516, 0, 328.9897, 9.7657, 673771, 20000.2000, 0, 5000, 9.7657, 20000.2000
2025-07-22 20:08:48:516, 0, 377.7993, 9.7619, 773733, 19992.4000, 0, 5000, 9.7619, 19992.4000
2025-07-22 20:08:53:516, 0, 426.6416, 9.7685, 873762, 20005.8000, 0, 5000, 9.7685, 20005.8000
2025-07-22 20:08:58:516, 0, 475.4556, 9.7628, 973733, 19994.2000, 0, 5000, 9.7628, 19994.2000
2025-07-22 20:09:03:516, 0, 524.2896, 9.7668, 1073745, 20002.4000, 0, 5000, 9.7668, 20002.4000
2025-07-22 20:09:08:517, 0, 573.1309, 9.7663, 1173772, 20001.3997, 0, 5001, 9.7663, 20001.3997
2025-07-22 20:09:13:517, 0, 621.9590, 9.7656, 1273772, 20000.0000, 0, 5000, 9.7656, 20000.0000
2025-07-22 20:09:18:518, 0, 670.7920, 9.7646, 1373782, 19998.0004, 0, 5001, 9.7646, 19998.0004
2025-07-22 20:09:23:518, 0, 719.6206, 9.7657, 1473783, 20000.2000, 0, 5000, 9.7657, 20000.2000
2025-07-22 20:09:28:518, 0, 768.4434, 9.7646, 1573772, 19997.8000, 0, 5000, 9.7646, 19997.8000
2025-07-22 20:09:33:518, 0, 817.2842, 9.7682, 1673798, 20005.2000, 0, 5000, 9.7682, 20005.2000
2025-07-22 20:09:38:518, 0, 866.1099, 9.7651, 1773793, 19999.0000, 0, 5000, 9.7651, 19999.0000
2025-07-22 20:09:43:518, 0, 914.9424, 9.7665, 1873802, 20001.8000, 0, 5000, 9.7665, 20001.8000
2025-07-22 20:09:48:518, 0, 963.7563, 9.7628, 1973773, 19994.2000, 0, 5000, 9.7628, 19994.2000
2025-07-22 20:09:53:518, 0, 1012.5889, 9.7665, 2073782, 20001.8000, 0, 5000, 9.7665, 20001.8000
2025-07-22 20:09:58:518, 0, 1061.4175, 9.7657, 2173783, 20000.2000, 0, 5000, 9.7657, 20000.2000
2025-07-22 20:10:03:518, 0, 1110.2456, 9.7656, 2273783, 20000.0000, 0, 5000, 9.7656, 20000.0000
2025-07-22 20:10:08:518, 0, 1159.0742, 9.7657, 2373784, 20000.2000, 0, 5000, 9.7657, 20000.2000
2025-07-22 20:10:13:518, 0, 1207.9019, 9.7655, 2473783, 19999.8000, 0, 5000, 9.7655, 19999.8000
2025-07-22 20:10:18:518, 0, 1256.7349, 9.7666, 2573793, 20002.0000, 0, 5000, 9.7666, 20002.0000
2025-07-22 20:10:23:518, 0, 1305.5625, 9.7655, 2673792, 19999.8000, 0, 5000, 9.7655, 19999.8000
2025-07-22 20:10:28:518, 0, 1354.3809, 9.7637, 2773772, 19996.0000, 0, 5000, 9.7637, 19996.0000
2025-07-22 20:10:33:518, 0, 1403.2114, 9.7661, 2873777, 20001.0000, 0, 5000, 9.7661, 20001.0000
2025-07-22 20:10:38:518, 0, 1452.0415, 9.7660, 2973781, 20000.8000, 0, 5000, 9.7660, 20000.8000
2025-07-22 20:10:43:518, 0, 1500.8721, 9.7661, 3073786, 20001.0000, 0, 5000, 9.7661, 20001.0000
2025-07-22 20:10:48:518, 0, 1549.6909, 9.7638, 3173767, 19996.2000, 0, 5000, 9.7638, 19996.2000
2025-07-22 20:10:53:518, 0, 1598.5269, 9.7672, 3273783, 20003.2000, 0, 5000, 9.7672, 20003.2000
2025-07-22 20:10:58:518, 0, 1647.3623, 9.7671, 3373798, 20003.0000, 0, 5000, 9.7671, 20003.0000
2025-07-22 20:11:03:519, 0, 1696.1875, 9.7631, 3473792, 19994.8010, 0, 5001, 9.7631, 19994.8010
2025-07-22 20:11:08:519, 0, 1745.0186, 9.7662, 3573798, 20001.2000, 0, 5000, 9.7662, 20001.2000
2025-07-22 20:11:13:519, 0, 1793.8506, 9.7664, 3673806, 20001.6000, 0, 5000, 9.7664, 20001.6000
2025-07-22 20:11:18:519, 0, 1842.6772, 9.7653, 3773803, 19999.4000, 0, 5000, 9.7653, 19999.4000
2025-07-22 20:11:23:519, 0, 1891.5044, 9.7654, 3873801, 19999.6000, 0, 5000, 9.7654, 19999.6000
2025-07-22 20:11:28:519, 0, 1940.3306, 9.7652, 3973797, 19999.2000, 0, 5000, 9.7652, 19999.2000
2025-07-22 20:11:33:519, 0, 1989.1646, 9.7668, 4073809, 20002.4000, 0, 5000, 9.7668, 20002.4000
2025-07-22 20:11:38:519, 0, 2037.9995, 9.7670, 4173823, 20002.8000, 0, 5000, 9.7670, 20002.8000
2025-07-22 20:11:43:519, 0, 2086.8223, 9.7646, 4273812, 19997.8000, 0, 5000, 9.7646, 19997.8000
