hostname,timestamp_iso,timestamp_ms,records_sent,recs_per_sec,mb_per_sec,avg_latency,max_latency,p50,p95,p99,p999
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:40:37.754329495Z,1754743237754,50079,10013.8,4.77,0.8,8.0,1,1,2,7
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:40:42.761546458Z,1754743242761,50071,10012.2,4.77,0.8,15.0,1,1,2,5
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:40:47.768688255Z,1754743247768,50070,10012.0,4.77,0.8,8.0,1,1,2,6
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:40:52.774313581Z,1754743252774,50059,10011.8,4.77,0.9,10.0,1,1,2,6
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:40:57.780460422Z,1754743257780,50061,10012.2,4.77,0.9,10.0,1,1,2,6
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:41:02.786352912Z,1754743262786,50060,10012.0,4.77,0.9,10.0,1,1,2,8
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:41:07.792107037Z,1754743267792,50050,10006.0,4.77,0.8,7.0,1,1,2,2
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:41:12.798955717Z,1754743272798,50070,10012.0,4.77,0.9,10.0,1,1,2,8
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:41:17.805664143Z,1754743277805,50070,10014.0,4.78,0.9,17.0,1,1,2,8
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:41:22.811540377Z,1754743282811,50059,10009.8,4.77,0.9,8.0,1,1,2,6
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:41:27.817035502Z,1754743287817,50076,10015.2,4.78,0.9,10.0,1,1,2,5
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:41:32.822867255Z,1754743292822,50035,10005.0,4.77,0.9,8.0,1,1,2,7
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:41:37.830807114Z,1754743297830,50080,10014.0,4.78,0.9,9.0,1,1,2,6
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:41:42.836410658Z,1754743302836,50060,10012.0,4.77,0.9,10.0,1,1,2,8
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:41:47.841364827Z,1754743307841,50049,10007.8,4.77,0.9,7.0,1,1,2,3
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:41:52.848630605Z,1754743312848,50071,10012.2,4.77,0.9,9.0,1,1,2,8
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:41:57.856049377Z,1754743317856,50070,10010.0,4.77,0.9,10.0,1,1,2,5
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:42:02.861145842Z,1754743322861,50060,10010.0,4.77,0.9,9.0,1,1,2,8
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:42:07.867439064Z,1754743327867,50059,10009.8,4.77,0.8,11.0,1,1,2,8
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:42:12.873584870Z,1754743332873,50061,10010.2,4.77,0.9,7.0,1,1,2,4
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:42:17.879456983Z,1754743337879,50060,10010.0,4.77,0.9,9.0,1,1,2,7
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:42:22.885993047Z,1754743342885,50060,10012.0,4.77,0.9,10.0,1,1,2,6
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:42:27.890670947Z,1754743347890,50050,10010.0,4.77,0.9,8.0,1,1,2,7
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:42:32.897296406Z,1754743352897,50070,10010.0,4.77,0.9,10.0,1,1,2,7
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:42:37.903178556Z,1754743357903,50049,10007.8,4.77,0.9,8.0,1,1,2,7
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:42:42.910184857Z,1754743362910,50071,10012.2,4.77,0.8,9.0,1,1,2,6
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:42:47.914623507Z,1754743367914,50050,10010.0,4.77,0.9,8.0,1,1,2,6
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:42:52.920047373Z,1754743372920,50066,10013.2,4.77,0.9,9.0,1,1,2,5
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:42:57.925443876Z,1754743377925,50044,10008.8,4.77,0.8,10.0,1,1,2,7
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:43:02.929147472Z,1754743382929,50039,10007.8,4.77,0.8,7.0,1,1,2,4
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:43:07.935899525Z,1754743387935,50061,10012.2,4.77,0.9,9.0,1,1,2,6
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:43:12.942539539Z,1754743392942,50070,10012.0,4.77,0.9,10.0,1,1,2,6
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:43:17.949266572Z,1754743397949,50060,10008.0,4.77,0.9,8.0,1,1,2,4
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:43:22.955547401Z,1754743402955,50070,10012.0,4.77,0.9,9.0,1,1,2,7
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:43:27.961104040Z,1754743407961,50069,10013.8,4.77,0.9,8.0,1,2,2,5
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:43:32.967873737Z,1754743412967,50051,10010.2,4.77,0.9,9.0,1,1,2,6
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:43:37.972016640Z,1754743417972,50047,10009.4,4.77,0.8,8.0,1,1,2,5
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:43:42.977080151Z,1754743422977,50053,10010.6,4.77,0.8,13.0,1,1,2,7
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:43:47.981531804Z,1754743427981,50040,10008.0,4.77,0.8,10.0,1,1,2,6
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:43:52.988620016Z,1754743432988,50069,10011.8,4.77,1.0,36.0,1,1,4,33
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:43:57.993742121Z,1754743437993,50050,10010.0,4.77,0.8,9.0,1,1,2,5
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:44:02.999270815Z,1754743442999,50063,10012.6,4.77,0.8,10.0,1,1,2,6
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:44:08.004075881Z,1754743448004,50038,10005.6,4.77,0.9,10.0,1,1,2,7
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:44:13.009870842Z,1754743453009,50060,10010.0,4.77,0.8,7.0,1,1,2,6
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:44:18.014102127Z,1754743458014,50040,10008.0,4.77,0.8,8.0,1,1,2,5
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:44:23.019867295Z,1754743463019,50060,10012.0,4.77,0.9,8.0,1,1,2,5
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T12:44:28.027221589Z,1754743468027,50070,10010.0,4.77,0.9,9.0,1,1,2,6
