2025-08-09 12:40:16.637 | main | INFO | io.prometheus.jmx.JavaAgent | Starting ...
2025-08-09 12:40:16.979 | main | INFO | io.prometheus.jmx.JavaAgent | HTTP enabled [true]
2025-08-09 12:40:16.980 | main | INFO | io.prometheus.jmx.JavaAgent | HTTP host:port [0.0.0.0:7002]
2025-08-09 12:40:16.980 | main | INFO | io.prometheus.jmx.JavaAgent | Starting HTTPServer ...
2025-08-09 12:40:17.032 | main | INFO | io.prometheus.jmx.JavaAgent | HTTPServer started
2025-08-09 12:40:17.033 | main | INFO | io.prometheus.jmx.JavaAgent | OpenTelemetry enabled [false]
2025-08-09 12:40:17.033 | main | INFO | io.prometheus.jmx.JavaAgent | Running ...
49961 records sent, 9992.2 records/sec (4.76 MB/sec), 16.6 ms avg latency, 525.0 ms max latency, 2 ms 50th, 124 ms 95th, 162 ms 99th, 176 ms 99.9th.
50251 records sent, 10048.2 records/sec (4.79 MB/sec), 1.3 ms avg latency, 30.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 26 ms 99.9th.
50140 records sent, 10024.0 records/sec (4.78 MB/sec), 1.0 ms avg latency, 16.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 12 ms 99.9th.
50070 records sent, 10012.0 records/sec (4.77 MB/sec), 1.0 ms avg latency, 11.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 8 ms 99.9th.
50080 records sent, 10014.0 records/sec (4.78 MB/sec), 0.9 ms avg latency, 11.0 ms max latency, 1 ms 50th, 1 ms 95th, 2 ms 99th, 8 ms 99.9th.
50080 records sent, 10014.0 records/sec (4.78 MB/sec), 1.0 ms avg latency, 10.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 8 ms 99.9th.
50060 records sent, 10012.0 records/sec (4.77 MB/sec), 1.0 ms avg latency, 8.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 5 ms 99.9th.
50070 records sent, 10010.0 records/sec (4.77 MB/sec), 1.1 ms avg latency, 10.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 9 ms 99.9th.
50089 records sent, 10017.8 records/sec (4.78 MB/sec), 1.1 ms avg latency, 11.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 9 ms 99.9th.
50077 records sent, 10015.4 records/sec (4.78 MB/sec), 0.9 ms avg latency, 9.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 6 ms 99.9th.
50054 records sent, 10008.8 records/sec (4.77 MB/sec), 1.0 ms avg latency, 9.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 8 ms 99.9th.
50050 records sent, 10010.0 records/sec (4.77 MB/sec), 1.0 ms avg latency, 10.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 6 ms 99.9th.
50059 records sent, 10011.8 records/sec (4.77 MB/sec), 1.1 ms avg latency, 9.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 7 ms 99.9th.
50081 records sent, 10014.2 records/sec (4.78 MB/sec), 1.1 ms avg latency, 10.0 ms max latency, 1 ms 50th, 2 ms 95th, 2 ms 99th, 7 ms 99.9th.
