hostname,timestamp_iso,timestamp_ms,records_sent,recs_per_sec,mb_per_sec,avg_latency,max_latency,p50,p95,p99,p999
producer-2.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:00.101329805Z,1753267260101,49972,9994.4,4.88,5.2,474.0,2,34,51,60
producer-2.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:05.126888416Z,1753267265126,50260,10050.0,4.91,1.4,32.0,1,2,3,29
producer-2.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:10.143389299Z,1753267270143,50164,10028.8,4.90,1.1,18.0,1,2,2,15
producer-2.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:15.150802390Z,1753267275150,50076,10015.2,4.89,1.1,13.0,1,2,2,6
producer-2.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:20.156601213Z,1753267280156,50050,10010.0,4.89,1.2,10.0,1,2,2,8
producer-2.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:25.162724278Z,1753267285162,50070,10014.0,4.89,1.1,11.0,1,2,2,9
producer-2.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:30.168849760Z,1753267290168,50060,10012.0,4.89,1.2,14.0,1,2,2,7
producer-2.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:35.173602490Z,1753267295173,50050,10010.0,4.89,1.1,10.0,1,2,2,6
producer-2.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:40.178284758Z,1753267300178,50050,10010.0,4.89,1.1,12.0,1,2,2,5
producer-2.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:45.182822588Z,1753267305182,50040,10008.0,4.89,1.2,10.0,1,2,2,8
producer-2.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:50.187121892Z,1753267310187,50040,10008.0,4.89,1.1,10.0,1,2,2,5
producer-2.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:55.191279724Z,1753267315191,50048,10009.6,4.89,1.1,11.0,1,2,2,7
