Metric Name                                                                                                                     Value
consumer-coordinator-metrics:assigned-partitions:{client-id=perf-consumer-client}                                             : 0.000
consumer-coordinator-metrics:commit-latency-avg:{client-id=perf-consumer-client}                                              : NaN
consumer-coordinator-metrics:commit-latency-max:{client-id=perf-consumer-client}                                              : NaN
consumer-coordinator-metrics:commit-rate:{client-id=perf-consumer-client}                                                     : 0.000
consumer-coordinator-metrics:commit-total:{client-id=perf-consumer-client}                                                    : 0.000
consumer-coordinator-metrics:failed-rebalance-rate-per-hour:{client-id=perf-consumer-client}                                  : 0.000
consumer-coordinator-metrics:failed-rebalance-total:{client-id=perf-consumer-client}                                          : 2.000
consumer-coordinator-metrics:heartbeat-rate:{client-id=perf-consumer-client}                                                  : 0.346
consumer-coordinator-metrics:heartbeat-response-time-max:{client-id=perf-consumer-client}                                     : 2.000
consumer-coordinator-metrics:heartbeat-total:{client-id=perf-consumer-client}                                                 : 202.000
consumer-coordinator-metrics:join-rate:{client-id=perf-consumer-client}                                                       : 0.000
consumer-coordinator-metrics:join-time-avg:{client-id=perf-consumer-client}                                                   : NaN
consumer-coordinator-metrics:join-time-max:{client-id=perf-consumer-client}                                                   : NaN
consumer-coordinator-metrics:join-total:{client-id=perf-consumer-client}                                                      : 1.000
consumer-coordinator-metrics:last-heartbeat-seconds-ago:{client-id=perf-consumer-client}                                      : 0.000
consumer-coordinator-metrics:last-rebalance-seconds-ago:{client-id=perf-consumer-client}                                      : 607.000
consumer-coordinator-metrics:partition-assigned-latency-avg:{client-id=perf-consumer-client}                                  : NaN
consumer-coordinator-metrics:partition-assigned-latency-max:{client-id=perf-consumer-client}                                  : NaN
consumer-coordinator-metrics:partition-lost-latency-avg:{client-id=perf-consumer-client}                                      : NaN
consumer-coordinator-metrics:partition-lost-latency-max:{client-id=perf-consumer-client}                                      : NaN
consumer-coordinator-metrics:partition-revoked-latency-avg:{client-id=perf-consumer-client}                                   : 0.000
consumer-coordinator-metrics:partition-revoked-latency-max:{client-id=perf-consumer-client}                                   : 0.000
consumer-coordinator-metrics:rebalance-latency-avg:{client-id=perf-consumer-client}                                           : NaN
consumer-coordinator-metrics:rebalance-latency-max:{client-id=perf-consumer-client}                                           : NaN
consumer-coordinator-metrics:rebalance-latency-total:{client-id=perf-consumer-client}                                         : 3140.000
consumer-coordinator-metrics:rebalance-rate-per-hour:{client-id=perf-consumer-client}                                         : 0.000
consumer-coordinator-metrics:rebalance-total:{client-id=perf-consumer-client}                                                 : 1.000
consumer-coordinator-metrics:sync-rate:{client-id=perf-consumer-client}                                                       : 0.000
consumer-coordinator-metrics:sync-time-avg:{client-id=perf-consumer-client}                                                   : NaN
consumer-coordinator-metrics:sync-time-max:{client-id=perf-consumer-client}                                                   : NaN
consumer-coordinator-metrics:sync-total:{client-id=perf-consumer-client}                                                      : 1.000
consumer-fetch-manager-metrics:bytes-consumed-rate:{client-id=perf-consumer-client, topic=low-latency-phase2}                 : 8871343.299
consumer-fetch-manager-metrics:bytes-consumed-rate:{client-id=perf-consumer-client}                                           : 9140723.681
consumer-fetch-manager-metrics:bytes-consumed-total:{client-id=perf-consumer-client, topic=low-latency-phase2}                : 6252000000.000
consumer-fetch-manager-metrics:bytes-consumed-total:{client-id=perf-consumer-client}                                          : 6252000000.000
consumer-fetch-manager-metrics:fetch-latency-avg:{client-id=perf-consumer-client}                                             : 11.336
consumer-fetch-manager-metrics:fetch-latency-max:{client-id=perf-consumer-client}                                             : 449.000
consumer-fetch-manager-metrics:fetch-rate:{client-id=perf-consumer-client}                                                    : 260.679
consumer-fetch-manager-metrics:fetch-size-avg:{client-id=perf-consumer-client, topic=low-latency-phase2}                      : 1163254.890
consumer-fetch-manager-metrics:fetch-size-avg:{client-id=perf-consumer-client}                                                : 1163254.890
consumer-fetch-manager-metrics:fetch-size-max:{client-id=perf-consumer-client, topic=low-latency-phase2}                      : 3107765.000
consumer-fetch-manager-metrics:fetch-size-max:{client-id=perf-consumer-client}                                                : 3107765.000
consumer-fetch-manager-metrics:fetch-throttle-time-avg:{client-id=perf-consumer-client}                                       : 0.000
consumer-fetch-manager-metrics:fetch-throttle-time-max:{client-id=perf-consumer-client}                                       : 0.000
consumer-fetch-manager-metrics:fetch-total:{client-id=perf-consumer-client}                                                   : 157681.000
consumer-fetch-manager-metrics:preferred-read-replica:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=0} : -1
consumer-fetch-manager-metrics:preferred-read-replica:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=1} : -1
consumer-fetch-manager-metrics:preferred-read-replica:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=2} : -1
consumer-fetch-manager-metrics:preferred-read-replica:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=3} : -1
consumer-fetch-manager-metrics:preferred-read-replica:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=4} : -1
consumer-fetch-manager-metrics:preferred-read-replica:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=5} : -1
consumer-fetch-manager-metrics:preferred-read-replica:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=6} : -1
consumer-fetch-manager-metrics:preferred-read-replica:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=7} : -1
consumer-fetch-manager-metrics:preferred-read-replica:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=8} : -1
consumer-fetch-manager-metrics:preferred-read-replica:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=9} : -1
consumer-fetch-manager-metrics:records-consumed-rate:{client-id=perf-consumer-client, topic=low-latency-phase2}               : 17027.250
consumer-fetch-manager-metrics:records-consumed-rate:{client-id=perf-consumer-client}                                         : 17544.575
consumer-fetch-manager-metrics:records-consumed-total:{client-id=perf-consumer-client, topic=low-latency-phase2}              : 12000000.000
consumer-fetch-manager-metrics:records-consumed-total:{client-id=perf-consumer-client}                                        : 12000000.000
consumer-fetch-manager-metrics:records-lag-avg:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=0}        : 4750.794
consumer-fetch-manager-metrics:records-lag-avg:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=1}        : 3990.474
consumer-fetch-manager-metrics:records-lag-avg:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=2}        : 4753.052
consumer-fetch-manager-metrics:records-lag-avg:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=3}        : 4973.189
consumer-fetch-manager-metrics:records-lag-avg:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=4}        : 4499.955
consumer-fetch-manager-metrics:records-lag-avg:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=5}        : 4750.692
consumer-fetch-manager-metrics:records-lag-avg:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=6}        : 4774.722
consumer-fetch-manager-metrics:records-lag-avg:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=7}        : 4797.546
consumer-fetch-manager-metrics:records-lag-avg:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=8}        : 3742.737
consumer-fetch-manager-metrics:records-lag-avg:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=9}        : 4794.567
consumer-fetch-manager-metrics:records-lag-max:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=0}        : 11295.000
consumer-fetch-manager-metrics:records-lag-max:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=1}        : 9542.000
consumer-fetch-manager-metrics:records-lag-max:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=2}        : 11230.000
consumer-fetch-manager-metrics:records-lag-max:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=3}        : 11122.000
consumer-fetch-manager-metrics:records-lag-max:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=4}        : 10051.000
consumer-fetch-manager-metrics:records-lag-max:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=5}        : 10375.000
consumer-fetch-manager-metrics:records-lag-max:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=6}        : 11035.000
consumer-fetch-manager-metrics:records-lag-max:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=7}        : 10714.000
consumer-fetch-manager-metrics:records-lag-max:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=8}        : 9170.000
consumer-fetch-manager-metrics:records-lag-max:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=9}        : 10229.000
consumer-fetch-manager-metrics:records-lag-max:{client-id=perf-consumer-client}                                               : 11295.000
consumer-fetch-manager-metrics:records-lag:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=0}            : 0.000
consumer-fetch-manager-metrics:records-lag:{client-id=perf-consumer-client, topic=low-latency-phase2, partition=1}            : 0.000
