hostname,timestamp_iso,timestamp_ms,records_sent,recs_per_sec,mb_per_sec,avg_latency,max_latency,p50,p95,p99,p999
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:15:05.471536387Z,1754766905471,49960,9990.0,4.76,71.2,682.0,9,354,405,434
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:15:10.506832468Z,1754766910506,50362,10072.4,4.80,6.0,45.0,5,12,16,40
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:15:15.517755649Z,1754766915517,50099,10017.8,4.78,5.4,20.0,5,11,13,19
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:15:20.526144479Z,1754766920526,50084,10016.8,4.78,5.6,19.0,5,11,12,18
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:15:25.535384919Z,1754766925535,50060,10012.0,4.77,4.8,19.0,4,9,11,18
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:15:30.545918158Z,1754766930545,50156,10029.2,4.78,4.7,24.0,4,9,11,18
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:15:35.552921392Z,1754766935552,50001,10000.2,4.77,4.8,18.0,4,9,11,17
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:15:40.560578591Z,1754766940560,50119,10023.8,4.78,5.0,19.0,4,10,12,18
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:15:45.567475312Z,1754766945567,50070,10014.0,4.78,5.5,18.0,5,10,12,16
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:15:50.573373971Z,1754766950573,50083,10016.6,4.78,4.9,19.0,4,10,11,18
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:15:55.578551306Z,1754766955578,50006,10001.2,4.77,5.5,20.0,5,10,12,17
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:16:00.585513218Z,1754766960585,50092,10018.4,4.78,5.1,21.0,4,10,13,18
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:16:05.592152641Z,1754766965592,50089,10017.8,4.78,5.5,20.0,5,10,11,18
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:16:10.599210481Z,1754766970599,50032,10004.4,4.77,5.5,68.0,4,11,33,67
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:16:15.604737057Z,1754766975604,50063,10012.6,4.77,5.0,17.0,4,10,11,14
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:16:20.610237105Z,1754766980610,50061,10012.2,4.77,4.4,18.0,4,9,11,15
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:16:25.616888108Z,1754766985616,50059,10011.8,4.77,4.5,17.0,4,9,11,15
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:16:30.622242586Z,1754766990622,50051,10010.2,4.77,4.6,16.0,4,9,11,14
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:16:35.628398942Z,1754766995628,50024,10004.8,4.77,4.9,16.0,4,10,11,14
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:16:40.634922625Z,1754767000634,50135,10027.0,4.78,4.8,18.0,4,10,12,17
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:16:45.641374990Z,1754767005641,50059,10011.8,4.77,4.7,15.0,4,10,11,14
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:16:50.647219735Z,1754767010647,50052,10010.4,4.77,5.1,17.0,4,10,12,16
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:16:55.653153299Z,1754767015653,50043,10006.6,4.77,5.6,17.0,5,10,12,15
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:17:00.659381944Z,1754767020659,50075,10013.0,4.77,5.3,16.0,5,10,13,15
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:17:05.666753970Z,1754767025666,50074,10014.8,4.78,4.8,15.0,4,10,11,15
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:17:10.673389618Z,1754767030673,50022,10004.4,4.77,5.1,17.0,4,10,12,17
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:17:15.680798713Z,1754767035680,50088,10017.6,4.78,6.1,22.0,6,11,12,17
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:17:20.685537934Z,1754767040685,50078,10015.6,4.78,7.2,18.0,8,11,13,17
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T19:17:25.694116877Z,1754767045694,50105,10017.0,4.78,5.0,16.0,4,10,12,14
