hostname,timestamp_iso,timestamp_ms,records_sent,recs_per_sec,mb_per_sec,avg_latency,max_latency,p50,p95,p99,p999
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:56:21.894678736Z,1754938581894,36964,6937.7,3.31,1067.6,2220.0,1062,1830,2183,2217
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:56:26.992698593Z,1754938586992,46200,9107.0,4.34,1596.4,2911.0,1697,2624,2865,2906
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:56:32.077221081Z,1754938592077,44657,8804.6,4.20,2263.8,3386.0,2404,3260,3348,3381
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:56:37.154526398Z,1754938597154,46224,9115.4,4.35,2504.6,3532.0,2526,3058,3307,3347
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:56:42.226154339Z,1754938602226,46227,9126.8,4.35,2528.5,3565.0,2517,3551,3555,3558
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:56:47.296770356Z,1754938607296,46227,9128.6,4.35,2445.6,4036.0,2520,3554,3562,3564
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:56:52.363351627Z,1754938612363,46233,9135.2,4.36,2626.5,4547.0,2513,4049,4539,4544
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:56:57.425728446Z,1754938617425,46230,9143.6,4.36,2541.9,3534.0,2540,3068,3071,3072
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:57:02.510407794Z,1754938622510,46230,9102.2,4.34,2391.1,3531.0,2536,3033,3037,3039
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:57:07.551203760Z,1754938627551,44685,8873.1,4.23,2736.0,4544.0,2993,4047,4534,4537
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:57:12.615203538Z,1754938632615,46236,9139.4,4.36,2471.9,4036.0,2523,3536,3576,3579
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:57:17.679753265Z,1754938637679,46224,9137.0,4.36,2576.7,3544.0,2531,3050,3539,3542
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:57:22.742038550Z,1754938642742,46230,9141.8,4.36,2524.7,4039.0,2526,3538,3572,3575
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:57:27.799216139Z,1754938647799,46233,9151.4,4.36,2421.3,4037.0,2522,3537,3571,3574
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:57:32.859611268Z,1754938652859,46230,9145.4,4.36,2623.5,4540.0,2521,4042,4536,4540
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:57:37.921188814Z,1754938657921,46233,9142.4,4.36,2470.4,3509.0,2523,3043,3506,3509
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:57:42.980107585Z,1754938662980,46227,9143.0,4.36,2557.5,3540.0,2529,3049,3537,3540
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:57:48.040520545Z,1754938668040,46230,9145.4,4.36,2522.5,4033.0,2526,3534,3561,3563
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:57:53.098035489Z,1754938673098,46227,9148.4,4.36,2438.7,3529.0,2527,3042,3051,3054
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:57:58.155705143Z,1754938678155,46233,9151.4,4.36,2608.8,4022.0,2559,3540,4010,4013
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:58:03.214086752Z,1754938683214,46227,9148.4,4.36,2540.3,3546.0,2521,3049,3539,3542
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:58:08.269169034Z,1754938688269,46233,9155.0,4.37,2521.4,3553.0,2527,3053,3538,3541
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:58:13.324693227Z,1754938693324,46230,9154.5,4.37,2487.9,3556.0,2528,3532,3539,3540
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:58:18.380863134Z,1754938698380,46227,9153.9,4.36,2555.9,3535.0,2520,3057,3531,3534
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:58:23.441174516Z,1754938703441,46233,9146.0,4.36,2503.6,3518.0,2522,3036,3061,3064
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:58:28.497667803Z,1754938708497,46224,9151.5,4.36,2490.0,4037.0,2513,3540,4035,4037
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:58:33.555591554Z,1754938713555,46233,9149.6,4.36,2569.9,3531.0,2523,3522,3529,3531
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:58:38.613943729Z,1754938718613,46230,9149.0,4.36,2469.8,3567.0,2527,3536,3543,3544
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:58:43.672994899Z,1754938723672,46233,9147.8,4.36,2533.9,4038.0,2517,3521,4034,4037
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:58:48.726921229Z,1754938728726,46227,9155.7,4.37,2505.0,4002.0,2525,3992,4000,4002
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:58:53.783914388Z,1754938733783,46236,9152.0,4.36,2549.8,4021.0,2510,3568,4001,4004
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:58:58.838054646Z,1754938738838,46227,9155.7,4.37,2536.0,3996.0,2529,3501,3992,3995
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:59:03.893789855Z,1754938743893,46227,9153.9,4.36,2520.7,3566.0,2526,3066,3538,3541
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:59:08.952049085Z,1754938748952,46230,9143.6,4.36,2485.5,3569.0,2525,3497,3539,3542
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:59:14.050973406Z,1754938754050,46230,9075.4,4.33,2568.7,3999.0,2551,3498,3995,3998
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:59:19.105434840Z,1754938759105,46230,9156.3,4.37,2485.6,3529.0,2512,3045,3526,3529
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:59:24.158768988Z,1754938764158,46230,9156.3,4.37,2552.4,3531.0,2512,3517,3527,3530
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:59:29.215325012Z,1754938769215,46233,9151.4,4.36,2517.7,3529.0,2510,3505,3512,3514
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:59:34.270776559Z,1754938774270,46230,9154.5,4.37,2519.2,4022.0,2522,3522,3562,3565
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:59:39.325219482Z,1754938779325,46230,9154.5,4.37,2518.7,3528.0,2523,3519,3526,3528
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:59:44.378117380Z,1754938784378,46230,9158.1,4.37,2485.2,4026.0,2522,3527,3570,3572
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:59:49.436290600Z,1754938789436,46227,9148.4,4.36,2521.4,4004.0,2516,3527,4000,4003
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:59:54.490763878Z,1754938794490,46230,9156.3,4.37,2553.5,3530.0,2554,3508,3527,3530
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T18:59:59.543877571Z,1754938799543,46233,9158.7,4.37,2500.2,4068.0,2516,3569,4042,4045
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T19:00:04.601893525Z,1754938804601,46230,9149.0,4.36,2501.9,3561.0,2518,3067,3535,3538
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T19:00:09.659919932Z,1754938809659,46230,9149.0,4.36,2452.0,4033.0,2557,3560,4029,4032
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T19:00:14.714756288Z,1754938814714,44688,8849.1,4.22,2658.4,4064.0,3028,3570,4040,4043
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T19:00:19.772059466Z,1754938819772,46230,9149.0,4.36,2501.7,4536.0,2516,4037,4533,4536
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T19:00:24.829097345Z,1754938824829,46227,9148.4,4.36,2587.1,4023.0,2522,3561,3568,3571
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T19:00:29.885997822Z,1754938829885,46230,9150.8,4.36,2502.8,4064.0,2507,3565,4044,4046
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T19:00:34.939584672Z,1754938834939,46227,9152.0,4.36,2368.3,3530.0,2517,3033,3527,3529
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T19:00:39.993278706Z,1754938839993,43149,8546.0,4.08,2700.7,4538.0,3016,4513,4519,4520
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T19:00:45.050293340Z,1754938845050,46203,9143.7,4.36,2723.0,4535.0,2686,4042,4514,4517
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T19:00:50.106267204Z,1754938850106,46200,9144.9,4.36,2466.8,3562.0,2496,3531,3538,3541
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T19:00:55.161503293Z,1754938855161,46200,9146.7,4.36,2577.9,4032.0,2526,3537,3726,3728
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T19:01:00.220426149Z,1754938860220,46200,9141.3,4.36,2521.8,4032.0,2523,3533,3886,3889
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T19:01:05.277138028Z,1754938865277,46200,9143.1,4.36,2556.1,4002.0,2524,3504,3693,3695
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T19:01:10.334552110Z,1754938870334,46200,9143.1,4.36,2466.6,3528.0,2523,3056,3506,3510
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T19:01:15.394138909Z,1754938875394,46200,9137.7,4.36,2455.3,4006.0,2522,3505,3693,3696
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-11T19:01:20.450324913Z,1754938880450,46200,9144.9,4.36,2611.7,4215.0,2524,3718,4065,4068
