Time,broker1,broker2,broker3
0.0,0.0,0.0,0.0
0.08333333333333333,0.163,0.0,0.0
0.16666666666666666,0.653,0.239,0.428
0.25,1.09,0.723,0.896
0.3333333333333333,1.46,1.16,1.33
0.4166666666666667,1.84,1.52,1.67
0.5833333333333334,2.53,2.25,2.38
0.6666666666666666,2.83,2.57,2.7
0.75,3.1,2.87,2.98
0.8333333333333334,3.36,3.14,3.25
0.9166666666666666,3.57,3.38,3.48
1.0,3.76,3.59,3.68
1.0833333333333333,3.96,3.78,3.89
1.1666666666666667,4.15,3.98,4.05
1.25,4.32,4.17,4.23
1.3333333333333333,4.48,4.34,4.4
1.4166666666666667,4.62,4.49,4.55
1.5,4.76,4.64,4.69
1.5833333333333333,4.88,4.77,4.82
1.6666666666666667,4.97,4.87,4.93
1.75,5.05,4.98,5.02
1.8333333333333333,5.14,5.08,5.12
1.9166666666666667,5.23,5.16,5.19
2.0,5.31,5.25,5.28
2.0833333333333335,5.39,5.33,5.36
2.1666666666666665,5.46,5.41,5.43
2.25,,5.48,5.5
2.3333333333333335,5.57,5.54,5.56
2.4166666666666665,5.62,5.58,5.62
2.5,5.65,5.63,5.65
2.5833333333333335,5.7,5.69,5.7
2.6666666666666665,5.75,5.69,5.71
2.75,5.79,5.73,5.76
2.8333333333333335,5.83,5.78,5.8
2.9166666666666665,5.87,5.82,5.84
3.0,5.89,5.86,5.88
3.0833333333333335,5.9,5.85,5.88
3.1666666666666665,5.93,5.89,5.92
3.25,5.93,5.92,5.95
3.3333333333333335,5.96,5.95,5.97
3.4166666666666665,5.99,5.95,6.0
3.5,6.01,5.98,6.0
3.5833333333333335,6.03,6.01,6.02
3.6666666666666665,6.06,6.03,6.04
3.75,6.07,6.05,6.06
3.8333333333333335,6.07,6.04,6.06
3.9166666666666665,6.08,6.06,6.07
4.0,6.06,6.08,6.08
4.083333333333333,6.08,6.07,6.1
4.166666666666667,,6.09,6.11
4.25,6.11,6.11,6.13
4.333333333333333,6.13,6.12,6.11
4.416666666666667,6.14,,6.1
4.5,6.15,6.11,6.12
4.583333333333333,6.14,6.1,6.13
4.666666666666667,6.15,6.11,6.12
4.75,6.14,6.13,6.13
4.833333333333333,6.15,6.14,6.15
4.916666666666667,6.16,6.13,6.16
5.0,6.17,6.14,6.17
5.083333333333333,6.18,6.15,6.15
5.166666666666667,6.19,6.16,6.16
5.25,6.2,6.18,6.17
5.333333333333333,6.18,6.16,6.18
5.416666666666667,6.19,6.17,6.19
5.5,6.17,6.18,6.18
5.583333333333333,6.18,6.16,6.18
5.666666666666667,6.19,6.17,6.19
5.75,6.2,6.18,6.2
5.833333333333333,6.22,6.19,6.21
5.916666666666667,6.22,6.21,6.16
6.0,6.18,6.21,6.17
6.083333333333333,6.19,6.19,6.16
6.166666666666667,6.2,6.2,6.17
6.25,6.2,6.2,6.18
6.333333333333333,6.21,6.19,6.19
6.416666666666667,6.22,6.19,6.17
6.5,6.22,6.2,6.17
6.583333333333333,6.23,6.21,6.18
6.666666666666667,6.23,6.22,6.19
6.75,6.21,6.22,6.2
6.833333333333333,6.19,6.23,6.2
6.916666666666667,6.2,6.21,6.19
7.0,,6.21,6.19
7.083333333333333,,6.2,
7.166666666666667,6.22,6.2,6.18
7.25,6.23,6.21,6.19
7.333333333333333,6.23,6.22,6.2
7.416666666666667,6.24,6.22,6.21
7.5,6.22,6.23,6.21
7.583333333333333,6.2,6.23,6.22
7.666666666666667,6.21,6.21,6.2
7.75,6.21,6.22,6.21
7.833333333333333,6.22,6.2,6.21
7.916666666666667,6.22,6.21,6.22
8.0,6.23,6.21,6.2
8.083333333333334,6.23,6.22,6.21
8.166666666666666,6.24,6.23,6.22
8.25,6.24,6.23,6.22
8.333333333333334,6.2,6.24,6.23
8.416666666666666,6.2,6.23,6.22
8.5,6.21,6.21,6.2
8.583333333333334,6.22,6.19,6.21
8.666666666666666,6.22,6.2,6.21
8.75,6.23,6.21,6.2
8.833333333333334,6.23,6.21,6.2
8.916666666666666,6.24,6.22,6.21
9.0,6.24,6.22,6.22
9.083333333333334,6.2,6.23,6.22
9.166666666666666,6.2,6.23,6.23
9.25,6.21,6.21,6.21
9.333333333333334,6.22,6.22,6.21
9.416666666666666,6.2,6.2,6.22
9.5,6.21,6.18,6.23
9.583333333333334,6.21,6.19,6.21
9.666666666666666,6.22,6.2,6.21
9.75,6.22,6.21,6.22
9.833333333333334,6.18,6.21,6.22
9.916666666666666,6.19,6.22,6.23
10.0,6.2,6.23,6.24
