hostname,timestamp_iso,timestamp_ms,records_sent,recs_per_sec,mb_per_sec,avg_latency,max_latency,p50,p95,p99,p999
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T18:47:36.773395076Z,1754765256773,49818,9959.6,4.75,95.3,714.0,9,445,540,558
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T18:47:41.805754181Z,1754765261805,50431,10086.2,4.81,5.9,55.0,5,13,27,51
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T18:47:46.816987016Z,1754765266816,50142,10028.4,4.78,5.2,22.0,4,11,13,18
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T18:47:51.826724991Z,1754765271826,50092,10018.4,4.78,5.2,20.0,5,10,11,18
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T18:47:56.836372358Z,1754765276836,50110,10022.0,4.78,4.6,18.0,4,9,11,16
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T18:48:01.843091054Z,1754765281843,50093,10018.6,4.78,4.9,18.0,4,10,12,16
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T18:48:06.849315461Z,1754765286849,50005,10001.0,4.77,4.4,18.0,4,9,10,16
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T18:48:11.856180904Z,1754765291856,50120,10022.0,4.78,4.6,16.0,4,9,11,14
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T18:48:16.862281672Z,1754765296862,50004,10000.8,4.77,5.0,20.0,4,10,11,17
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T18:48:21.869549151Z,1754765301869,50094,10018.8,4.78,5.0,21.0,4,10,12,19
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T18:48:26.877008907Z,1754765306877,50089,10015.8,4.78,4.8,20.0,4,9,11,20
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T18:48:31.884168421Z,1754765311884,50060,10012.0,4.77,5.0,21.0,4,10,11,17
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T18:48:36.891652097Z,1754765316891,50079,10015.8,4.78,4.7,22.0,4,9,11,19
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T18:48:41.898951729Z,1754765321898,50044,10008.8,4.77,5.1,23.0,4,10,12,23
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T18:48:46.904080409Z,1754765326904,50100,10020.0,4.78,4.9,20.0,4,10,12,17
producer-1.pitur-265048.isolateedinburgh-pg0.utah.cloudlab.us,2025-08-09T18:48:51.911217288Z,1754765331911,50041,10006.2,4.77,4.7,18.0,4,10,11,16
