hostname,timestamp_iso,timestamp_ms,records_sent,recs_per_sec,mb_per_sec,avg_latency,max_latency,p50,p95,p99,p999
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:38:40.910609591Z,1753630720910,311,51.9,0.03,504.0,5480.0,483,520,523,5480
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:38:45.915334158Z,1753630725915,310,62.0,0.03,5505.5,10469.0,5484,5519,5521,10469
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:38:50.920016563Z,1753630730920,310,62.0,0.03,10498.0,15473.0,10482,10508,10509,15473
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:38:55.925707938Z,1753630735925,310,62.0,0.03,15502.1,20476.0,15485,15509,15510,20476
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:39:00.931732310Z,1753630740931,310,62.0,0.03,20490.4,25481.0,20477,20507,20509,25481
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:39:05.937431461Z,1753630745937,310,62.0,0.03,25495.9,30479.0,25483,25512,25512,30479
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:39:10.942274354Z,1753630750942,310,62.0,0.03,30488.9,35484.0,30484,30503,30504,35484
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:39:15.947491203Z,1753630755947,310,62.0,0.03,35493.4,40477.0,35488,35509,35509,40477
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:39:20.952099067Z,1753630760952,310,62.0,0.03,40487.5,45482.0,40482,40495,40495,45482
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:39:25.973531831Z,1753630765973,403,80.4,0.04,46644.2,50499.0,45488,50498,50498,50499
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:39:30.978391149Z,1753630770978,310,62.0,0.03,51985.2,55503.0,50495,55503,55503,55503
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:39:35.983524587Z,1753630775983,310,62.0,0.03,56988.4,60507.0,55499,60507,60507,60507
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:39:40.988998822Z,1753630780988,310,62.0,0.03,61989.1,65511.0,60498,65511,65511,65511
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:39:45.993781114Z,1753630785993,310,62.0,0.03,66988.3,70487.0,65503,70486,70486,70487
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:39:50.998461159Z,1753630790998,310,62.0,0.03,71969.5,75490.0,70503,75490,75490,75490
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:39:56.003754277Z,1753630796003,310,62.0,0.03,76970.9,80484.0,75507,80484,80484,80484
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:40:01.008695008Z,1753630801008,310,62.0,0.03,81952.9,85487.0,80503,85487,85487,85487
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:40:06.013686050Z,1753630806013,310,62.0,0.03,86941.8,90488.0,85507,90488,90488,90488
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:40:11.017916943Z,1753630811017,310,62.0,0.03,91919.3,95493.0,90508,95493,95493,95493
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:40:16.022225640Z,1753630816022,310,62.0,0.03,96920.9,100496.0,95512,100496,100496,100496
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:40:21.026486442Z,1753630821026,310,62.0,0.03,101904.8,105500.0,100510,105500,105500,105500
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:40:26.029785628Z,1753630826029,310,62.0,0.03,106898.8,110498.0,105515,110497,110498,110498
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:40:31.033945313Z,1753630831033,310,62.0,0.03,111855.2,115501.0,110412,115501,115501,115501
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:40:51.021525312Z,1753630851021,217,10.9,0.01,115257.9,115530.0,115297,115530,115530,115530
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:40:56.024838213Z,1753630856024,217,43.4,0.02,108694.1,115120.0,110111,115120,115120,115120
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:41:01.028654281Z,1753630861028,186,37.2,0.02,109982.6,115115.0,110108,115115,115115,115115
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:41:06.031843210Z,1753630866031,186,37.2,0.02,104316.4,120106.0,105121,115118,115118,120106
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:41:11.035222101Z,1753630871035,248,49.6,0.02,108238.8,120103.0,110111,115117,115117,120103
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:41:16.038390496Z,1753630876038,248,49.6,0.02,107653.6,115115.0,110105,115115,115115,115115
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:41:21.041392469Z,1753630881041,248,49.6,0.02,108235.0,115109.0,110059,115109,115109,115109
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:41:26.044080117Z,1753630886044,279,55.8,0.03,108478.6,120112.0,110085,115132,115132,120112
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:41:31.047601993Z,1753630891047,248,49.6,0.02,104458.1,115088.0,110059,115088,115088,115088
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:41:36.085105327Z,1753630896085,310,61.6,0.03,104646.4,115092.0,105101,115063,115063,115092
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:41:41.089287143Z,1753630901089,310,62.0,0.03,106550.7,115118.0,110044,115118,115118,115118
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:41:46.092689919Z,1753630906092,248,49.6,0.02,105752.0,115110.0,110049,115104,115104,115110
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T15:41:51.096585360Z,1753630911096,248,49.6,0.02,103245.2,115133.0,105077,115133,115133,115133
