hostname,timestamp_iso,timestamp_ms,records_sent,recs_per_sec,mb_per_sec,avg_latency,max_latency,p50,p95,p99,p999
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:40:58.553232500Z,1753267258553,49961,9992.2,4.88,15.9,493.0,2,113,155,176
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:03.579485754Z,1753267263579,50288,10057.6,4.91,1.4,34.0,1,2,3,30
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:08.588390858Z,1753267268588,50063,10010.6,4.89,1.1,12.0,1,2,2,8
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:13.596025055Z,1753267273596,50080,10016.0,4.89,1.0,11.0,1,2,2,9
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:18.616788026Z,1753267278616,50210,10042.0,4.90,1.1,23.0,1,2,2,11
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:23.625099117Z,1753267283625,50080,10014.0,4.89,1.0,11.0,1,2,2,8
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:28.630752264Z,1753267288630,50060,10012.0,4.89,1.1,12.0,1,2,2,8
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:33.637356871Z,1753267293637,50060,10010.0,4.89,1.0,9.0,1,2,2,7
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:38.642380632Z,1753267298642,50060,10012.0,4.89,1.0,12.0,1,2,2,7
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:43.647259829Z,1753267303647,50050,10010.0,4.89,1.0,13.0,1,2,2,7
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:48.652826762Z,1753267308652,50050,10008.0,4.89,1.0,11.0,1,2,2,5
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:53.657224392Z,1753267313657,50040,10008.0,4.89,1.0,8.0,1,2,2,6
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:41:58.662523877Z,1753267318662,50059,10009.8,4.89,1.1,8.0,1,2,2,5
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:42:03.668018934Z,1753267323668,50056,10011.2,4.89,1.0,10.0,1,2,2,8
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:42:08.673934892Z,1753267328673,50055,10009.0,4.89,1.1,13.0,1,2,2,3
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:42:13.678466519Z,1753267333678,50050,10010.0,4.89,1.1,11.0,1,2,2,6
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:42:18.683317233Z,1753267338683,50053,10010.6,4.89,1.0,13.0,1,2,2,7
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:42:23.689200084Z,1753267343689,50047,10005.4,4.89,1.0,8.0,1,2,2,4
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:42:28.694507717Z,1753267348694,50060,10012.0,4.89,1.1,23.0,1,2,2,18
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:42:33.699580510Z,1753267353699,50065,10013.0,4.89,1.1,14.0,1,2,2,6
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:42:38.704155421Z,1753267358704,50028,10003.6,4.88,1.1,10.0,1,2,2,5
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:42:43.708594198Z,1753267363708,50047,10009.4,4.89,1.0,12.0,1,2,2,5
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:42:48.714016249Z,1753267368714,50050,10006.0,4.89,1.0,9.0,1,2,2,7
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:42:53.719706125Z,1753267373719,50060,10010.0,4.89,1.1,8.0,1,2,2,5
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:42:58.725824987Z,1753267378725,50060,10010.0,4.89,1.0,9.0,1,2,2,7
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:43:03.730984141Z,1753267383730,50060,10012.0,4.89,1.1,12.0,1,2,2,7
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:43:08.736260483Z,1753267388736,50049,10007.8,4.89,1.1,10.0,1,2,2,3
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:43:13.740502699Z,1753267393740,50041,10008.2,4.89,1.0,7.0,1,2,2,5
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:43:18.745242214Z,1753267398745,50040,10006.0,4.89,1.1,9.0,1,2,2,4
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:43:23.749127130Z,1753267403749,50053,10010.6,4.89,1.0,10.0,1,2,2,5
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:43:28.754704148Z,1753267408754,50047,10007.4,4.89,1.1,13.0,1,2,2,6
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:43:33.758642428Z,1753267413758,50039,10007.8,4.89,1.1,10.0,1,2,2,6
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:43:38.763808411Z,1753267418763,50051,10008.2,4.89,1.1,13.0,1,2,2,5
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:43:43.768320002Z,1753267423768,50040,10008.0,4.89,1.1,9.0,1,2,2,6
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:43:48.773343593Z,1753267428773,50050,10008.0,4.89,1.1,13.0,1,2,2,6
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:43:53.778664352Z,1753267433778,50060,10010.0,4.89,1.1,10.0,1,2,2,5
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:43:58.782368465Z,1753267438782,50036,10007.2,4.89,1.1,12.0,1,2,2,6
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:44:03.786933558Z,1753267443786,50043,10008.6,4.89,1.1,7.0,1,2,2,4
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:44:08.793213848Z,1753267448793,50062,10010.4,4.89,1.1,10.0,1,2,2,6
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:44:13.797762674Z,1753267453797,50048,10009.6,4.89,1.0,13.0,1,2,2,6
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:44:18.801401741Z,1753267458801,50040,10008.0,4.89,1.1,10.0,1,2,2,5
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:44:23.805474020Z,1753267463805,50039,10007.8,4.89,1.1,11.0,1,2,2,3
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:44:28.809087240Z,1753267468809,50035,10007.0,4.89,1.1,9.0,1,2,2,6
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:44:33.814629218Z,1753267473814,50056,10009.2,4.89,1.1,11.0,1,2,2,6
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:44:38.820185285Z,1753267478820,50051,10006.2,4.89,1.0,13.0,1,2,2,6
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-23T10:44:43.826150213Z,1753267483826,50060,10008.0,4.89,1.1,10.0,1,2,2,6
