hostname,timestamp_iso,timestamp_ms,records_sent,recs_per_sec,mb_per_sec,avg_latency,max_latency,p50,p95,p99,p999
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:36:38.683267053Z,1753626998683,49981,9994.2,4.88,10.9,661.0,3,62,72,82
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:36:43.715682066Z,1753627003715,50331,10064.2,4.91,2.1,37.0,2,3,5,35
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:36:48.728001158Z,1753627008727,50112,10022.4,4.89,1.6,16.0,1,3,3,12
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:36:53.736331381Z,1753627013736,50088,10015.6,4.89,1.3,12.0,1,2,3,10
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:36:58.750269925Z,1753627018750,50145,10029.0,4.90,1.3,17.0,1,2,3,13
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:37:03.760394188Z,1753627023760,50095,10019.0,4.89,1.3,14.0,1,2,2,11
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:37:08.770361409Z,1753627028770,50100,10016.0,4.89,1.3,12.0,1,2,3,8
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:37:13.776070255Z,1753627033776,50060,10012.0,4.89,1.3,10.0,1,2,3,8
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:37:18.782393801Z,1753627038782,50070,10012.0,4.89,1.3,9.0,1,2,3,9
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:37:23.789905942Z,1753627043789,50070,10014.0,4.89,1.3,12.0,1,2,2,8
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:37:28.796185099Z,1753627048796,50062,10010.4,4.89,1.2,11.0,1,2,2,9
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:37:33.804226848Z,1753627053804,50078,10011.6,4.89,1.3,10.0,1,2,2,9
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:37:38.810443613Z,1753627058810,50070,10012.0,4.89,1.3,9.0,1,2,3,4
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:37:43.817351383Z,1753627063817,50064,10012.8,4.89,1.3,12.0,1,2,3,9
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:37:48.822418706Z,1753627068822,50051,10010.2,4.89,1.3,10.0,1,2,2,8
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:37:53.828821900Z,1753627073828,50065,10013.0,4.89,1.3,11.0,1,2,3,8
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:37:58.834312938Z,1753627078834,50060,10012.0,4.89,1.3,9.0,1,2,3,7
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:38:03.840284384Z,1753627083840,50054,10010.8,4.89,1.3,13.0,1,2,3,8
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:38:08.845085428Z,1753627088845,50045,10009.0,4.89,1.3,8.0,1,2,2,6
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:38:13.851650309Z,1753627093851,50066,10013.2,4.89,1.3,13.0,1,2,3,8
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:38:18.856640723Z,1753627098856,50054,10010.8,4.89,1.3,8.0,1,2,3,4
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:38:23.862303862Z,1753627103862,50051,10010.2,4.89,1.3,15.0,1,2,3,7
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:38:28.867335060Z,1753627108867,50053,10010.6,4.89,1.3,7.0,1,2,2,6
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:38:33.875380832Z,1753627113875,50080,10016.0,4.89,1.3,14.0,1,2,2,9
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:38:38.880667229Z,1753627118880,50063,10012.6,4.89,1.3,8.0,1,2,2,6
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:38:43.886641104Z,1753627123886,50053,10010.6,4.89,1.3,11.0,1,2,3,7
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:38:48.891786195Z,1753627128891,50043,10008.6,4.89,1.3,8.0,1,2,3,5
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:38:53.899603662Z,1753627133899,50087,10015.4,4.89,1.3,16.0,1,2,3,9
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:38:58.905927920Z,1753627138905,50060,10010.0,4.89,1.4,50.0,1,2,3,40
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:39:03.913802780Z,1753627143913,50081,10014.2,4.89,1.3,17.0,1,2,3,8
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:39:08.917305786Z,1753627148917,50029,10005.8,4.89,1.3,7.0,1,2,3,5
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:39:13.923340682Z,1753627153923,50076,10015.2,4.89,1.3,10.0,1,2,3,6
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:39:18.930044762Z,1753627158930,50054,10008.8,4.89,1.3,10.0,1,2,3,6
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:39:23.936669282Z,1753627163936,50071,10012.2,4.89,1.3,10.0,1,2,3,8
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:39:28.943148245Z,1753627168943,50060,10010.0,4.89,1.2,9.0,1,2,2,7
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:39:33.948141161Z,1753627173948,50059,10011.8,4.89,1.2,9.0,1,2,2,7
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:39:38.954164899Z,1753627178954,50061,10012.2,4.89,1.3,9.0,1,2,2,6
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:39:43.961470784Z,1753627183961,50068,10011.6,4.89,1.3,10.0,1,2,3,5
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:39:48.968773977Z,1753627188968,50065,10013.0,4.89,1.3,32.0,1,2,3,28
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:39:53.975201450Z,1753627193975,50066,10011.2,4.89,1.2,10.0,1,2,3,6
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:39:58.982492321Z,1753627198982,50081,10014.2,4.89,1.3,9.0,1,2,3,6
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:40:03.988505736Z,1753627203988,50060,10010.0,4.89,1.2,9.0,1,2,2,7
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:40:08.994396750Z,1753627208994,50059,10011.8,4.89,1.2,10.0,1,2,2,8
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:40:13.999257620Z,1753627213999,50051,10010.2,4.89,1.2,9.0,1,2,2,7
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:40:19.006396812Z,1753627219006,50070,10012.0,4.89,1.3,10.0,1,2,3,8
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:40:24.011673781Z,1753627224011,50049,10009.8,4.89,1.3,8.0,1,2,2,4
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:40:29.018717995Z,1753627229018,50071,10012.2,4.89,1.3,10.0,1,2,3,7
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:40:34.024323822Z,1753627234024,50057,10009.4,4.89,1.3,9.0,1,2,3,6
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:40:39.031459453Z,1753627239031,50073,10012.6,4.89,1.3,12.0,1,2,3,8
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:40:44.035243435Z,1753627244035,50033,10006.6,4.89,1.4,41.0,1,2,3,25
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:40:49.042313399Z,1753627249042,50066,10009.2,4.89,1.3,13.0,1,2,3,10
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:40:54.046017158Z,1753627254046,50041,10008.2,4.89,1.3,7.0,1,2,3,5
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:40:59.053698597Z,1753627259053,50080,10014.0,4.89,1.2,14.0,1,2,3,8
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:41:04.059716225Z,1753627264059,50060,10010.0,4.89,1.3,8.0,1,2,2,5
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:41:09.065010849Z,1753627269065,50050,10010.0,4.89,1.3,14.0,1,2,3,8
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:41:14.071161969Z,1753627274071,50060,10008.0,4.89,1.3,8.0,1,2,2,7
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:41:19.076162159Z,1753627279076,50054,10010.8,4.89,1.3,14.0,1,2,3,8
producer-1.pitur-263751.isolateedinburgh-pg0.utah.cloudlab.us,2025-07-27T14:41:24.080664543Z,1753627284080,50054,10010.8,4.89,1.3,6.0,1,2,2,3
